В каком месте принято встречать новый год в Тальке, небольшом городке в Чили;Кладбище
Впервые этот вид тропической птицы был открыт в 1758 году Карлом Линнеем. Их песни можно услышать перед грозой или началом муссонов;Павлин
В древности для изготовления этой несъедобной вежи иногда использовался прессованный творог;Пуговица
Футбольный клуб;Атлетико
Дословно это слово переводится с латинского как от глухого;Абсурд
Кого на русском севере символизировала фигурка зайца;Жених
Что нужно было спрятать, чтобы лишить колдунов Маори возможности навредить;Плевок
С Греческого языка это слово переводится как одетый в белое;Кандидат
Герой бразильских сериалов;Педро
Благодаря чему спасся зайчик от наводнения (ему даже был возведен памятник в Санкт-Петербурге) ?;Сапог
Свойство воды, которое в отличии от твердых материалов нельзя проверить на ощупь;Жестокость
Порода кошек;Нибелунг
Заключительная фаза последовательности действий или событий;Результат
Образ этого существа встречается в гробницах фараонов Древнего Египта;Скорпион
Чем может являться сыр ?;Приманка
Какой звук издают дельфины афалины, когда едят;Мяуканье
Тот, кто бывает и в музее, и в парикмахерской, и в магазине;Посетитель
Хищное млекопитающее без хвоста;Шимпанзе
Этот паук не справляется с основным паучьим ремеслом;Тарантул
Фамилия Ваньки из рассказа Чехова.;Жуков
Это слово изначально обозначало типографский брак;Макулатура
По мнению Древних Ирландцев это должно было присутствовать в изобилии в раю;Свинина
От чего, говорят, способна излечить ласточка;Веснушки
"Эта редкая для нашей страны птица в русских духовных стихах упоминается под именем ""стрефил""";Страус
В Древней греции - удар, которий нужно пропустить, не защищаясь;Климакс
Причина из за которой король Англии Георг Шестой предпочитал не показываться на публике;Заикание
В каком американском городе законом запрещается гнать по улице более 2000 овец;Голливуд
Российская попсовая исполнительница;Жасмин
Что есть у католиков и отсутствует у православных;Чистилище
Кто съедает в день количество пищи, весом превышающее вес всего тела в 2-3 раза;Землеройка
Растущий на ценном своей древесиной черном дереве;Хурма
Этого вредителя придумал Стивен Кинг;Гремлин
Во избежание чего в Древнем Риме в ручке ложки делали дырочку;Кража
Что по традиции сжигали девушки на Троицу, чтобы в селе было больше невест;Штаны
Героиня бразильских сериалов;Марианна
Деятельность направленная на то, чтобы побудить человека к каким либо действиям;Агитация
Он всегда прав но его часто обманывают;Клиент
Вещество, применяемое при лечении ангины;Керосин
Греческую сладость пастила из айвы в России принято называть;Мармелад
Ягоды этого дерева не являются предметом экспорта из за своей хрупкости;Шелковица
Духовой музыкальный инструмент;Гобой
Эта сказочная героиня была описана в греческой истории под именем Родопис;Золушка
Кого отваживали цирюльники предоставлением не качественных услуг;Городовой
Что следует соблюдать, когда имеешь дело с гальваническими элементами;Полярность
Что изучает трибология?;Трение
Домашняя спецодежда;Фартук
Это растение является национальным цветком Эстонии;Василек
В качестве этого в древнейшие времена использовали скелет рыбы;Расческа
Название этого популярного инструмента произошло от французского зажим и стержень;Пассатижи
Отпечатки пальцев этого животного не отличить от человеческих даже под микроскопом;Коала
Цитрусовое дерево с ароматными цветками;Бергамот
Кем будет муж, если в гадании на святки петух подошел к зеркалу;Бабник
Овощ из которого изначально делали светильники для Хеллоуина;Картофель
Предвестие какого либо действия;Прелюдия
Его язык в два раза длиннее тела;Хамелеон
Как еще называют шпажник;Гладиолус
В советские годы политически опасные беседы обычно проводились на кухне. А где это делали древние римляне?;Туалет
Эту одежду американцы называли таксидо а англичане динке джанет;Смокинг
Какой офисный комплекс самый огромный в мире;Пентагон
Что получилось когда древнегреческий музыкальный инструмент попал сначала к арабам а потом к Испанцам;Гитара
Одна из форм деятельности различных государственных органов по обеспечению законности;Надзор
Русские средневековые преимущество жилые каменные или кирпичные сооружения;Палаты
Ломоносов впервые придумал это слово которое потом прочно вошло в обиход;Градусник/Вещество
В качестве чего использовали индейцы стебли одного из видов кактусов;Холодильник
Часть слова;Корень
Самое древнее приспособление такого типа найдено в соляной шахте и имеет возраст 7000 лет;Лестница
Какой овощ был особо популярен во времена во времена правления французского короля Людовика;Спар(д)жа
Фамилия английского генерала, введшего новый вид бомбы, заряженной картечью;Шрапнель
У этого животного самое высокое кровяное давление;Жираф
Офицерский чин казачьих военных формирований;Старшина
Раньше это выдавалось только морякам, участвующим в дальних походах;Тельняшка
Как назывался документ об освобождении раба;Вольная
Природное ископаемое;Торф/Родонит
Результат вспучивания и раздутия;Пузырь
Знахарь, специализирующийся на лечении лошадей;Коновал
Железная дорога с канатной тягой, устраиваемая на крутых подьемах;Фуникулер
Волокна этого растения по качеству способны конкурировать с льном и хлопком. Из него шили самые крепкие паруса;Крапива
Это изобрел в 1903 году американец Альберт Паркахус пользуясь исключительно продукцией завода, на котором работал.;Вешалка
В этом языке нет слов да и нет, а согласие или несогласие выражается полными предложениями;Шотландский
Знатный человек;Магнат
Впервые это появилось в Италии в конце 19 века. Сейчас это активно применяется в некоторых музыкальных жанрах и не приветствуется в других;Фонограмма
Строительный материал;Штукатурка/Стекло
Дамская сумка;Клатч
Официальная коллективная просьба;Петиция
Герой книги властелин колец;Саруман
Что хотел увеличить Чарльз Диккенс спя всегда лицом на север;Талант
Нарушение зрение.;Близорукость
Кто спит на животе, согласно мнению Китайских мудрецов;Грешник
Этот великий писатель не мог без ошибки написать практически ни одного слова;Андресен
У некоторых ракообразных вместо оторванного глаза вырастает именно это;Щупальце
Эти предметы использовали гароннские пастухи, чтобы следить за овцами, а военные чтобы форсировать водные преграды;Ходули
Этот продукт является радиоактивным, так как содержит в себе большое количество калия, в том числе и радиоактивного;Банан
Изначально этот предмет нашей повседневной жизни считался чрезвычайно дорогостоящим товаром и был доступен только состоятельным людям;Подушка
"Басня Крылова ""стрекоза и муравей"" является вольным переводом басни Лафонтена. Какое насекомое Крылов заменил стрекозой";Цикада
Стимулирующее нервную систему вещество получаемое из некоторых растений;Кофеин
Кулинарное блюдо;Запеканка
Этот известный король был членом братства трубадуров и писал песни;Ричард
Этому овощу установлены памятники в нескольких городах России;Огурец
Химический элемент металл;Свинец
Что в переводе с древнегреческого языка означает слово Георгий;Земледелец
Что могло на несколько минут прервать концерт Монтсеррат Кабалье;Магнитофон
Что не принято приносить с собой в гости в Китае, чтобы не оскорбить хозяев;Цветы
Рыболовная снасть;Жерлица
Актер, впервые выступающий перед публикой;Дебютант
Вполне съедобная ящерица, откладывающая деликатесные яйца;Игуана
Он есть у любого туриста или дальнобойщика;Маршрут
Какое блюдо из старых желтых огурцов было популярно в старой Русской кухне;Варенье
В мире существует более 450 видов этой птицы;Зяблик
Какое имя как правило давалось отрицательным литературным героям во времена Пушкина;Евгений
Название этого популярного удара из кулачных боев на масленицу прочно вошло в обиход;Оплеуха
В каком месте Великобритании по закону запрещено появляться в рыцарских доспехах;Парламент
Что означает появление на трассе автогонок красного флага;Авария
В средние века этот вид одежды был редкостью и даже упоминался в завещаниях;Рубашка
Во время царствования Елизаветы на это существовал налог;Борода
Чего нельзя делать в Благовещенье, иначе не будет урожая;Спать
Как называлась раньше карточная масть червы;Копыта
Что было первым изделием, сделанным из алюминия?;Погремушка
Для чего предназначались первые известные науке бочки в Междуречье;Мусор
Должностное лицо Московской Руси, исполнявшее судебные, финансовые и полицейские обязанности.;Целовальник
Спортивный снаряд для физических упражнений взрослых и детей;Скакалка
Во Франции это слово обозначает ревность и зависть, а у нас предмет интерьера;Жалюзи
Сначала этот сосуд использовался в качестве питейного;Кубышка
Фрукт для худеющих и диабетиков;Грейпфрут
Какое повседневное действие заставляет работать целых 17 мускулов;Улыбка
Название этой приправы с греческого переводится как безупречная пряность;Корица
Это слово в старину на Руси означало оставить без шлема;Ошеломить
Вымершее животное;Мезозавр
Леонардо да Винчи помимо всего прочего заложил основы развития этого жанра изобразительного искусства как самостоятельного направления;Карикатура
Единственное в России здание, сделанное из этого материала, это железнодорожный вокзал в городе Слюдянка;Мрамор
Страшно, когда он злой;Тигр/Психопат
Этот холм по очертаниям напоминает череп. Именно поэтому он так и называется;Голгофа
Совокупность условных действий, лишенных непосредственной практической целесообразности;Ритуал
Первая женщина олимпийский чемпион была принцессой этой страны;Спарта
Рара для воды;Чайник
Явление, наблюдаемое только в темное время суток;Зарница
Что являлось обязательным подарком на свадьбу в Персии;Шахматы
У этого лесного зверька срок беременности больше чем у человека 10 месяцев;Куница
Эта игра называлась чатуранга и базировалась на четырёх основных видах индийских войск;Шахматы
В ГБ9 веке в эту игру играли практически все Французские короли;Теннис
Всем известная достопримечательность африканского континента;Лимпопо
Что по свидетельству Даля специально ставили в устье печи, чтобы они хлеб лучше подрумянился;Лучина
